z_A	valence_CHGCAR_e_A3	dencor_e_A3	phi_hartree_eV	phi_local_eV	phi_sol_no_dipole_eV
9.479166666667e+00	2.432109583502e-01	2.117502093264e-04	9.989405907726e+02	-1.000178327400e+03	-1.237736627388e+00
9.570312500000e+00	2.747283330282e-01	1.639025502690e-04	9.993071205839e+02	-1.000843475527e+03	-1.536354943198e+00
9.661458333333e+00	3.023116837185e-01	1.468468298183e-04	9.994107757951e+02	-1.001244026938e+03	-1.833251142575e+00
9.752604166667e+00	3.242147582099e-01	1.466342881720e-04	9.992103101662e+02	-1.001298387570e+03	-2.088077404212e+00
9.843750000000e+00	3.390820818502e-01	1.489569155399e-04	9.986729690278e+02	-1.000930811233e+03	-2.257842205335e+00
9.934895833333e+00	3.462371597385e-01	1.469536452884e-04	9.977764895252e+02	-1.000096032486e+03	-2.319542960392e+00
1.002604166667e+01	3.459629674527e-01	1.382638564829e-04	9.965100797528e+02	-9.987953046710e+02	-2.285224918172e+00
1.011718750000e+01	3.394791024004e-01	1.232529063280e-04	9.948739977415e+02	-9.970723119749e+02	-2.198314233419e+00
1.020833333333e+01	3.287128644703e-01	1.060641365594e-04	9.928777464292e+02	-9.949601576709e+02	-2.082411241654e+00
1.029947916667e+01	3.158871486077e-01	9.324655460354e-05	9.905372290045e+02	-9.924557111253e+02	-1.918482120735e+00
1.039062500000e+01	3.031142927554e-01	8.964348178818e-05	9.878714611291e+02	-9.895730989322e+02	-1.701637803033e+00
1.048177083333e+01	2.922183577274e-01	9.471364005393e-05	9.848994125258e+02	-9.863566693974e+02	-1.457256871593e+00
1.057291666667e+01	2.843165671939e-01	1.028195321785e-04	9.816373194679e+02	-9.828837936543e+02	-1.246474186360e+00
1.066406250000e+01	2.793482659234e-01	1.073292752068e-04	9.780970676270e+02	-9.792231409313e+02	-1.126073304253e+00
1.075520833333e+01	2.759737936432e-01	1.055044169861e-04	9.742862957728e+02	-9.753690355714e+02	-1.082739798665e+00
1.084635416667e+01	2.720394857357e-01	9.952136811646e-05	9.702103558756e+02	-9.712711475566e+02	-1.060791681002e+00
1.093750000000e+01	2.658673343018e-01	9.351646203956e-05	9.658753794595e+02	-9.668786837852e+02	-1.003304325723e+00
1.102864583333e+01	2.572467575987e-01	8.972945627432e-05	9.612906699278e+02	-9.621929106829e+02	-9.022407550966e-01
1.111979166667e+01	2.472671477540e-01	8.756587201570e-05	9.564690428586e+02	-9.572579928057e+02	-7.889499471102e-01
1.121093750000e+01	2.372743635236e-01	8.509838605472e-05	9.514253239896e+02	-9.521175107830e+02	-6.921867934316e-01
1.130208333333e+01	2.278254216672e-01	8.113901065252e-05	9.461744660454e+02	-9.467927526950e+02	-6.182866496421e-01
1.139322916667e+01	2.187038565863e-01	7.571005104614e-05	9.407307064691e+02	-9.412839315606e+02	-5.532250914814e-01
1.148437500000e+01	2.097418044183e-01	6.952691020552e-05	9.351077832193e+02	-9.355806813570e+02	-4.728981377149e-01
1.157552083333e+01	2.014438071398e-01	6.255962163465e-05	9.293191036634e+02	-9.296800844521e+02	-3.609807886946e-01
1.166666666667e+01	1.948281455128e-01	5.380951235949e-05	9.233770120438e+02	-9.236309997070e+02	-2.539876631504e-01
1.175781250000e+01	1.910567464477e-01	4.315672235328e-05	9.172913065997e+02	-9.174733161673e+02	-1.820095675115e-01
1.184895833333e+01	1.912729860116e-01	3.303368485418e-05	9.110675151300e+02	-9.112558090149e+02	-1.882938848347e-01
1.194010416667e+01	1.966608527383e-01	2.870977999719e-05	9.047051603304e+02	-9.049935450510e+02	-2.883847206292e-01
1.203125000000e+01	2.078564988404e-01	3.633740061905e-05	8.981960552254e+02	-8.986253668320e+02	-4.293116066083e-01
1.212239583333e+01	2.239110295820e-01	5.765718565691e-05	8.915234868494e+02	-8.920936030640e+02	-5.701162145644e-01
1.221354166667e+01	2.420596410871e-01	8.744747759725e-05	8.846636733739e+02	-8.853659466583e+02	-7.022732843877e-01
1.230468750000e+01	2.585820387874e-01	1.157941736542e-04	8.775898060651e+02	-8.783949002822e+02	-8.050942171089e-01
