z_A	valence_CHGCAR_e_A3	dencor_e_A3	phi_hartree_eV	phi_local_eV	phi_sol_no_dipole_eV
7.200520833333e+00	8.889344845103e-01	1.525366276824e-02	9.726110981069e+02	-9.893494977638e+02	-1.673839965688e+01
7.291666666667e+00	7.645780309698e-01	1.220471228607e-02	9.767008352033e+02	-9.902460382316e+02	-1.354520302834e+01
7.382812500000e+00	6.389518137818e-01	9.708237722418e-03	9.797909673388e+02	-9.903226114498e+02	-1.053164411094e+01
7.473958333333e+00	5.200303799536e-01	7.582119933253e-03	9.820693437276e+02	-9.900298697806e+02	-7.960526052933e+00
7.565104166667e+00	4.131628938438e-01	5.716412327711e-03	9.837140686416e+02	-9.896008197639e+02	-5.886751122291e+00
7.656250000000e+00	3.213510439644e-01	4.111318028729e-03	9.848854210093e+02	-9.890869388646e+02	-4.201517855287e+00
7.747395833333e+00	2.457381224888e-01	2.799076108331e-03	9.857212786726e+02	-9.885637711795e+02	-2.842492506909e+00
7.838541666667e+00	1.859732972629e-01	1.789450636916e-03	9.863353543989e+02	-9.881304065732e+02	-1.795052174242e+00
7.929687500000e+00	1.404965518435e-01	1.062056410874e-03	9.868176896532e+02	-9.878470199801e+02	-1.029330326839e+00
8.020833333333e+00	1.069863451345e-01	5.761123242948e-04	9.872369435025e+02	-9.877323012816e+02	-4.953577790706e-01
8.111979166667e+00	8.296603428662e-02	2.831400251390e-04	9.876438049227e+02	-9.877755211874e+02	-1.317162646409e-01
8.203125000000e+00	6.633562054813e-02	1.286905052709e-04	9.880746476729e+02	-9.879593719663e+02	1.152757065260e-01
8.294270833333e+00	5.559021589058e-02	5.685442633137e-05	9.885546591657e+02	-9.882891890842e+02	2.654700815332e-01
8.385416666667e+00	4.966633993263e-02	2.550159665491e-05	9.891001243536e+02	-9.887523687796e+02	3.477555740398e-01
8.476562500000e+00	4.773504066913e-02	1.305706308099e-05	9.897200525839e+02	-9.893438777532e+02	3.761748306719e-01
8.567708333333e+00	4.918274621233e-02	1.442653616624e-05	9.904174235942e+02	-9.900632579789e+02	3.541656153412e-01
8.658854166667e+00	5.357107363163e-02	3.860802362888e-05	9.911901157986e+02	-9.908929811418e+02	2.971346567998e-01
8.750000000000e+00	6.061006912216e-02	9.937289667389e-05	9.920315691165e+02	-9.918010349885e+02	2.305341280446e-01
8.841145833333e+00	7.024971252397e-02	1.980778473875e-04	9.929312098723e+02	-9.927696194985e+02	1.615903738460e-01
8.932291666667e+00	8.287764584321e-02	3.151377104469e-04	9.938744983725e+02	-9.937948778958e+02	7.962047672287e-02
9.023437500000e+00	9.929860988465e-02	4.152962336707e-04	9.948423481048e+02	-9.948805164811e+02	-3.816837635402e-02
9.114583333333e+00	1.203733682196e-01	4.648587027644e-04	9.958099621710e+02	-9.960245019783e+02	-2.145398072862e-01
9.205729166667e+00	1.464371989050e-01	4.493363032135e-04	9.967456135888e+02	-9.971830749016e+02	-4.374613128146e-01
9.296875000000e+00	1.768020507439e-01	3.808808206339e-04	9.976102080135e+02	-9.983008386686e+02	-6.906306551736e-01
9.388020833333e+00	2.098039072155e-01	2.905509185820e-04	9.983583097286e+02	-9.993160631979e+02	-9.577534693176e-01
