z_A	RHOB_DFT_e_A3	RHOB_py_refphi_e_A3	RHOION_DFT_e_A3	RHOION_py_refphi_e_A3
5.468750000000e+00	-6.939864957459e-11	1.578260122408e-09	5.303729999730e-21	0.000000000000e+00
5.559895833333e+00	7.164916778529e-11	1.603281358687e-09	1.433292236786e-20	0.000000000000e+00
5.651041666667e+00	-7.391400125292e-11	9.453889222654e-10	-2.328033372032e-21	0.000000000000e+00
5.742187500000e+00	7.619375428752e-11	5.588832908685e-10	2.381840032741e-20	1.509435751827e-53
5.833333333333e+00	-7.848904337958e-11	1.070057160373e-10	-3.240414135109e-20	8.529377589351e-53
5.924479166667e+00	8.080050526371e-11	1.233301004783e-10	9.299178348944e-21	4.225348706813e-52
6.015625000000e+00	-8.312878786292e-11	-6.581509054889e-11	5.653172061409e-21	1.725092955772e-51
6.106770833333e+00	8.547456076118e-11	8.050911975804e-11	3.988345783930e-21	6.848007145277e-51
6.197916666667e+00	-8.783850853763e-11	-8.106491716664e-11	6.190159847704e-21	2.461258312089e-50
6.289062500000e+00	9.022133868988e-11	8.380853848737e-11	2.619629937346e-20	8.418556864111e-50
6.380208333333e+00	-9.262377437145e-11	-8.631066623357e-11	-2.229248202448e-20	2.808172660195e-49
6.471354166667e+00	9.504656525491e-11	8.885635236964e-11	1.360550353471e-20	9.195679740178e-49
6.562500000000e+00	-9.749048078138e-11	-9.142031447706e-11	-2.606216650974e-20	2.958800355177e-48
6.653645833333e+00	9.995631479372e-11	9.400524852328e-11	-2.167154232987e-20	9.354625716845e-48
6.744791666667e+00	-1.024448873898e-10	-9.661189804417e-11	-3.004637821397e-20	2.907793870584e-47
6.835937500000e+00	1.049570465883e-10	9.924114215804e-11	3.956942488080e-21	8.873719675885e-47
6.927083333333e+00	-1.074936643482e-10	-1.018938827503e-10	-4.489932576774e-20	2.656826404684e-46
7.018229166667e+00	1.100556501215e-10	1.045710508991e-10	-9.046845846633e-21	7.789677101175e-46
7.109375000000e+00	-1.126439372192e-10	-1.072736096948e-10	-2.201011040248e-20	2.237030790231e-45
7.200520833333e+00	1.152594997502e-10	1.100025545754e-10	-1.328976250704e-20	6.285048021003e-45
7.291666666667e+00	-1.179033420792e-10	-1.127589161708e-10	-3.115492682680e-20	1.726804805060e-44
7.382812500000e+00	1.205765116614e-10	1.155437631281e-10	2.706053469743e-20	4.638829848569e-44
7.473958333333e+00	-1.232800914306e-10	-1.183582023647e-10	-2.278122209339e-20	1.217895465761e-43
7.565104166667e+00	1.260152102364e-10	1.212033843314e-10	1.608518698697e-20	3.124354760954e-43
7.656250000000e+00	-1.287830443890e-10	-1.240805045696e-10	-3.243791566021e-20	7.829242133416e-43
7.747395833333e+00	1.315848123732e-10	1.269908049208e-10	-2.902579059062e-20	1.914576006268e-42
7.838541666667e+00	-1.344217921336e-10	-1.299355803545e-10	-5.259370963425e-20	4.493417160592e-42
7.929687500000e+00	1.372953152440e-10	1.329161855535e-10	-2.219537142802e-20	9.110028347640e-42
8.020833333333e+00	-1.402067058691e-10	-1.359338335498e-10	-3.761840273305e-20	1.674277431718e-41
8.111979166667e+00	1.431594431000e-10	1.389957168847e-10	-2.056733951447e-20	2.281888114501e-41
8.203125000000e+00	-1.461050649207e-10	-1.419724556276e-10	-2.921082845111e-20	1.123097730716e-41
8.294270833333e+00	1.500103237463e-10	1.472088101770e-10	-2.924124949706e-20	-5.953693444433e-41
8.385416666667e+00	-1.402584349936e-10	-1.217759863092e-10	-4.502053695300e-20	-2.183824990632e-40
8.476562500000e+00	2.913397814295e-10	4.308704247930e-10	-6.242127888049e-21	-5.171096359502e-40
8.567708333333e+00	1.046680337552e-09	2.139088273208e-09	-4.254904627094e-20	-1.084936986247e-39
8.658854166667e+00	8.555380557884e-09	1.498554901610e-08	5.758667980183e-21	-2.023165302030e-39
8.750000000000e+00	4.592798204291e-08	7.556246559303e-08	-9.295928140161e-21	-3.447770127257e-39
8.841145833333e+00	2.004976331190e-07	3.070415995499e-07	-1.989294860088e-20	-5.513842074688e-39
8.932291666667e+00	6.914799618053e-07	9.908588739526e-07	-4.934125175280e-20	-8.390647592369e-39
9.023437500000e+00	1.904535634738e-06	2.561413807302e-06	1.286188044991e-20	-1.218235062313e-38
9.114583333333e+00	4.199284401482e-06	5.320941733891e-06	-1.304065040372e-20	-1.695057412756e-38
9.205729166667e+00	7.453716634973e-06	8.929815864709e-06	-2.304352806343e-20	-2.265668557670e-38
9.296875000000e+00	1.070569710765e-05	1.216285763041e-05	-4.242838534056e-21	-2.931433580671e-38
9.388020833333e+00	1.249887412992e-05	1.348336003996e-05	8.575848814778e-21	-3.687348472961e-38
9.479166666667e+00	1.180775067084e-05	1.205450308494e-05	6.063564601289e-21	-4.531796081947e-38
9.570312500000e+00	8.628557377516e-06	8.164800928205e-06	-1.788352865185e-20	-5.436317621309e-38
9.661458333333e+00	3.719387287847e-06	2.759940342643e-06	3.257192462584e-20	-6.399917802062e-38
9.752604166667e+00	-1.818040870659e-06	-3.011984658566e-06	-2.888732770046e-20	-7.392354782272e-38
9.843750000000e+00	-6.636928523688e-06	-7.819898982108e-06	-1.195153751958e-20	-8.371063190425e-38
9.934895833333e+00	-9.496609350651e-06	-1.047052306295e-05	-4.392805561946e-20	-9.279944015617e-38
1.002604166667e+01	-1.007727941229e-05	-1.074476496096e-05	-3.497726326010e-20	-9.980237376269e-38
1.011718750000e+01	-9.155496362938e-06	-9.544633477955e-06	-6.961590670248e-20	-1.031208034136e-37
1.020833333333e+01	-7.742827703321e-06	-7.955143093333e-06	-3.262433649288e-20	-1.016791997674e-37
1.029947916667e+01	-6.279363716150e-06	-6.408224078724e-06	-5.772746645949e-20	-9.679687007744e-38
