z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	cvhar_DBG_eV	cvdip_DBG_eV	phisol_DBG_eV	phi_final_DBG_eV
2.315104166667e+01	-7.647870943725e-04	-7.647870937056e-04	1.200123561753e-06	5.654598695097e-06	-7.635869708107e-04	-7.591324949237e-04	1.732423163158e+00	1.732482272524e+00	-5.001545350200e-02	1.682466819022e+00	1.705806631214e-02
2.324218750000e+01	-8.700528722601e-04	-8.700528712941e-04	-7.747661878631e-07	-5.229256499093e-06	-8.708276384480e-04	-8.752821277074e-04	1.706369358971e+00	1.706423980804e+00	-5.082215436500e-02	1.655601826440e+00	1.657898191375e-02
2.333333333333e+01	9.618335570657e-04	9.618335575848e-04	1.153249744997e-06	5.607758011699e-06	9.629868068107e-04	9.674413156847e-04	1.680559657558e+00	1.680617276871e+00	-5.162885522800e-02	1.628988421644e+00	1.614119830159e-02
2.342447916667e+01	1.052753827869e-03	1.052753828809e-03	-5.376760353060e-07	-4.992200406961e-06	1.052216151834e-03	1.047761628513e-03	1.654958992333e+00	1.655012124023e+00	-5.243555609100e-02	1.602576567932e+00	1.569460296625e-02
2.351562500000e+01	-7.653749301327e-04	-7.653749297742e-04	1.059471171091e-06	5.514011868509e-06	-7.643154589616e-04	-7.598609177667e-04	1.629601168316e+00	1.629657297579e+00	-5.324225695400e-02	1.576415040625e+00	1.528712834723e-02
2.360677083333e+01	-8.449446619412e-04	-8.449446615411e-04	-3.674648411852e-07	-4.822023363801e-06	-8.453121267824e-04	-8.497666847883e-04	1.604453614003e+00	1.604505255550e+00	-5.404895781700e-02	1.550456297733e+00	1.487090666752e-02
2.369791666667e+01	9.584743841302e-04	9.584743844564e-04	9.189235102106e-07	5.373496752433e-06	9.593933076404e-04	9.638478813608e-04	1.579548352250e+00	1.579602991463e+00	-5.485565868000e-02	1.524747332783e+00	1.449210515058e-02
2.378906250000e+01	1.024813023535e-03	1.024813023349e-03	-1.980273982201e-07	-4.652618710763e-06	1.024614996137e-03	1.020160404771e-03	1.554853949665e+00	1.554904101068e+00	-5.566235954300e-02	1.499241741526e+00	1.410429781481e-02
2.388020833333e+01	-7.693130722984e-04	-7.693130722436e-04	8.289768627841e-07	5.283584135845e-06	-7.684840954357e-04	-7.640294879582e-04	1.530400593077e+00	1.530453742240e+00	-5.646906040600e-02	1.473984681835e+00	1.375190115783e-02
2.397135416667e+01	-8.281693275890e-04	-8.281693278326e-04	4.931272183188e-08	-4.405309331818e-06	-8.281200148672e-04	-8.325746370051e-04	1.506159303228e+00	1.506207964487e+00	-5.727576126800e-02	1.448932203219e+00	1.339072088192e-02
2.406250000000e+01	9.531190818686e-04	9.531190831695e-04	8.067669530950e-07	5.261407951335e-06	9.539258488217e-04	9.583804913448e-04	1.482158497156e+00	1.482210156269e+00	-5.808246213100e-02	1.424127694137e+00	1.306346607826e-02
2.415364583333e+01	9.999547875055e-04	9.999547881149e-04	3.097259843414e-07	-4.144929825075e-06	1.000264513490e-03	9.958098584411e-04	1.458370340370e+00	1.458417511485e+00	-5.888916299400e-02	1.399528348490e+00	1.272742166292e-02
2.424479166667e+01	-7.765959340350e-04	-7.765959332534e-04	7.271090554835e-07	5.181780645295e-06	-7.758688249795e-04	-7.714141524227e-04	1.434821449892e+00	1.434871618955e+00	-5.969586385700e-02	1.375175755099e+00	1.242358359882e-02
