z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	phisol_DBG_eV	phi_final_DBG_eV
4.921875000000e+00	5.442680455457e+01	5.442680455457e+01	-5.781437633527e-05	-5.335214365922e-05	5.442674674019e+01	5.442675120243e+01	6.222343249316e-01	8.388364031985e-01	4.809171538349e-01
5.013020833333e+00	7.446978444790e+01	7.446978444790e+01	8.399484999050e-05	7.953133700978e-05	7.446986844275e+01	7.446986397925e+01	5.911960849928e-01	8.062234532819e-01	4.342717361005e-01
5.104166666667e+00	1.021097939708e+02	1.021097939708e+02	-4.199785549337e-05	-3.753605682566e-05	1.021097519729e+02	1.021097564347e+02	5.433391941257e-01	7.567995011859e-01	3.705889553055e-01
5.195312500000e+00	1.401846989572e+02	1.401846989572e+02	1.554114877053e-04	1.509446082550e-04	1.401848543687e+02	1.401848499018e+02	4.724252721477e-01	6.843108489063e-01	2.836151132250e-01
5.286458333333e+00	1.925791086008e+02	1.925791086008e+02	7.438662520122e-05	7.884362553067e-05	1.925791829875e+02	1.925791874445e+02	3.697432957990e-01	5.800618370602e-01	1.646545506937e-01
5.377604166667e+00	2.646071395669e+02	2.646071395669e+02	4.711888714354e-04	4.667079270639e-04	2.646076107558e+02	2.646076062749e+02	2.232730684294e-01	4.320168457351e-01	1.671647584574e-03
5.468750000000e+00	3.633299114378e+02	3.633299114378e+02	7.418165636990e-04	7.462450228864e-04	3.633306532544e+02	3.633306576829e+02	1.676881630393e-02	2.239456042306e-01	-2.215638665913e-01
5.559895833333e+00	4.978379793829e+02	4.978379793829e+02	2.173495114889e-03	2.168940588282e-03	4.978401528780e+02	4.978401483236e+02	-2.727103530108e-01	-6.710839686886e-02	-5.280085014582e-01
5.651041666667e+00	6.796047889843e+02	6.796047889843e+02	5.123900376932e-03	5.128146479306e-03	6.796099128847e+02	6.796099171309e+02	-6.749398478829e-01	-4.709047670835e-01	-9.474218663302e-01
5.742187500000e+00	9.228228161922e+02	9.228228161922e+02	1.542259607162e-02	1.541750092157e-02	9.228382387883e+02	9.228382336931e+02	-1.233329020413e+00	-1.030869065873e+00	-1.523229520871e+00
5.833333333333e+00	1.244304883942e+03	1.244304883942e+03	5.117959706477e-02	5.118205975059e-02	1.244356063539e+03	1.244356066001e+03	-1.987154130776e+00	-1.786261348688e+00	-2.294691520328e+00
5.924479166667e+00	1.662110825711e+03	1.662110825711e+03	1.999471342204e-01	1.999350156701e-01	1.662310772845e+03	1.662310760727e+03	-2.996154573996e+00	-2.796835667558e+00	-3.321561916933e+00
6.015625000000e+00	2.191866629680e+03	2.191866629680e+03	8.556325954768e-01	8.556088885120e-01	2.192722262276e+03	2.192722238569e+03	-4.455736567711e+00	-4.257981523529e+00	-4.799230211534e+00
6.106770833333e+00	2.840676356113e+03	2.840676356113e+03	3.381125257580e+00	3.381048009525e+00	2.844057481371e+03	2.844057404122e+03	-6.542859074650e+00	-6.346679538963e+00	-6.904677026684e+00
6.197916666667e+00	3.599412716646e+03	3.599412716646e+03	1.052907227439e+01	1.052895264546e+01	3.609941788920e+03	3.609941669291e+03	-9.300896067123e+00	-9.106295197051e+00	-9.681267845387e+00
6.289062500000e+00	4.436705215491e+03	4.436705215491e+03	2.581405755066e+01	2.581393306886e+01	4.462519273041e+03	4.462519148559e+03	-1.252605631267e+01	-1.233304586537e+01	-1.292522003541e+01
6.380208333333e+00	5.299296922009e+03	5.299296922009e+03	5.171400664626e+01	5.171400738821e+01	5.351010928655e+03	5.351010929397e+03	-1.575251857925e+01	-1.556107934572e+01	-1.617068139836e+01
6.471354166667e+00	6.121111421310e+03	6.121111421310e+03	8.725916349407e+01	8.725935951853e+01	6.208370584804e+03	6.208370780828e+03	-1.849377059861e+01	-1.830388723207e+01	-1.893114352840e+01
6.562500000000e+00	6.835248680395e+03	6.835248680395e+03	1.268540796704e+02	1.268544480257e+02	6.962102760066e+03	6.962103128422e+03	-2.051769946586e+01	-2.032935261602e+01	-2.097448951693e+01
6.653645833333e+00	7.383433284391e+03	7.383433284391e+03	1.617076719832e+02	1.617080109112e+02	7.545140956374e+03	7.545141295302e+03	-2.187106573323e+01	-2.168426438673e+01	-2.234750825330e+01
6.744791666667e+00	7.720533243162e+03	7.720533243162e+03	1.833436399964e+02	1.833437323584e+02	7.903876883158e+03	7.903876975519e+03	-2.272761692773e+01	-2.254236733240e+01	-2.322394452555e+01
6.835937500000e+00	7.816372430560e+03	7.816372430560e+03	1.872978518331e+02	1.872975316419e+02	8.003670282393e+03	8.003669962203e+03	-2.312932239349e+01	-2.294564286234e+01	-2.364577974314e+01
6.927083333333e+00	7.658842626381e+03	7.658842626381e+03	1.748649099271e+02	1.748642319890e+02	7.833707536308e+03	7.833706858370e+03	-2.290098387271e+01	-2.271886683497e+01	-2.343778976433e+01
7.018229166667e+00	7.258987592672e+03	7.258987592672e+03	1.519004799677e+02	1.518996383484e+02	7.410888072640e+03	7.410887231020e+03	-2.177527694983e+01	-2.159471806212e+01	-2.233265340112e+01
7.109375000000e+00	6.654038286348e+03	6.654038286348e+03	1.256057868901e+02	1.256050773924e+02	6.779644073238e+03	6.779643363740e+03	-1.964710503935e+01	-1.946808472231e+01	-2.022525883185e+01
7.200520833333e+00	5.903495398088e+03	5.903495398088e+03	1.013009727099e+02	1.013005771717e+02	6.004796370798e+03	6.004795975261e+03	-1.673839965689e+01	-1.656092312012e+01	-1.733756236128e+01
7.291666666667e+00	5.077632790673e+03	5.077632790673e+03	8.105261306797e+01	8.105258494958e+01	5.158685403741e+03	5.158685375623e+03	-1.354520302834e+01	-1.336927700827e+01	-1.416560774196e+01
7.382812500000e+00	4.243337566478e+03	4.243337566478e+03	6.447329664504e+01	6.447351250261e+01	4.307810863123e+03	4.307811078980e+03	-1.053164411095e+01	-1.035729619456e+01	-1.117354478185e+01
7.473958333333e+00	3.453569423188e+03	3.453569423188e+03	5.035355351117e+01	5.035389011310e+01	3.503922976699e+03	3.503923313301e+03	-7.960526052934e+00	-7.787761410443e+00	-8.624154212254e+00
7.565104166667e+00	2.743852651651e+03	2.743852651651e+03	3.796321827790e+01	3.796356898146e+01	2.781815869929e+03	2.781816220631e+03	-5.886751122292e+00	-5.715570833520e+00	-6.572334210915e+00
7.656250000000e+00	2.134121740434e+03	2.134121740434e+03	2.730363990328e+01	2.730399068018e+01	2.161425380337e+03	2.161425731114e+03	-4.201517855288e+00	-4.031904396411e+00	-4.909264710310e+00
7.747395833333e+00	1.631969397662e+03	1.631969397662e+03	1.858892101991e+01	1.858923787264e+01	1.650558318682e+03	1.650558635535e+03	-2.842492506909e+00	-2.674448812574e+00	-3.572632424042e+00
7.838541666667e+00	1.235065714841e+03	1.235065714841e+03	1.188390571433e+01	1.188418286284e+01	1.246949620556e+03	1.246949897704e+03	-1.795052174243e+00	-1.628574825819e+00	-2.547808095776e+00
7.929687500000e+00	9.330504797688e+02	9.330504797688e+02	7.053213980732e+00	7.053416113635e+00	9.401036937496e+02	9.401038958824e+02	-1.029330326839e+00	-8.644279527550e-01	-1.804937242263e+00
8.020833333333e+00	7.105061252153e+02	7.105061252153e+02	3.826014756453e+00	3.826155601788e+00	7.143321399718e+02	7.143322808171e+02	-4.953577790712e-01	-3.320228126083e-01	-1.294034482592e+00
8.111979166667e+00	5.509850389914e+02	5.509850389914e+02	1.880358861704e+00	1.880431926051e+00	5.528653978531e+02	5.528654709174e+02	-1.317162646414e-01	3.004344715852e-02	-9.536969643599e-01
8.203125000000e+00	4.405409368846e+02	4.405409368846e+02	8.546454422485e-01	8.546878923765e-01	4.413955823269e+02	4.413956247769e+02	1.152757065252e-01	2.754690282620e-01	-7.302264857175e-01
8.294270833333e+00	3.691797195488e+02	3.691797195488e+02	3.775754569732e-01	3.775880500372e-01	3.695572950058e+02	3.695573075988e+02	2.654700815328e-01	4.240892865682e-01	-6.037876909298e-01
8.385416666667e+00	3.298387162848e+02	3.298387162848e+02	1.693584410544e-01	1.693710524976e-01	3.300080747259e+02	3.300080873373e+02	3.477555740399e-01	5.048095606488e-01	-5.454752412994e-01
8.476562500000e+00	3.170127808384e+02	3.170127808384e+02	8.671315282999e-02	8.671539186736e-02	3.170994939912e+02	3.170994962302e+02	3.761748306715e-01	5.316554430667e-01	-5.412635444147e-01
8.567708333333e+00	3.266271260584e+02	3.266271260584e+02	9.580794912539e-02	9.582949059346e-02	3.267229340075e+02	3.267229555490e+02	3.541656153407e-01	5.080807042404e-01	-5.876988300088e-01
