# units: z_A in Angstrom; densities in e/A^3; diff = reproduction - DFT
z_A	RHOB_DFT_e_per_A3	RHOB_repro_e_per_A3	RHOB_diff_e_per_A3	RHOION_DFT_e_per_A3	RHOION_repro_e_per_A3	RHOION_diff_e_per_A3
3.098958333333	-1.4182863315591758e-11	-1.4182806533555308e-11	5.6782036450309470e-17	-8.2274080154675497e-20	-7.8757658447026415e-20	3.5164217076490815e-21
3.190104166667	1.6240843487140559e-11	1.6240788258942699e-11	-5.5228197859621020e-17	-9.0141938603974047e-20	-9.2030384556644709e-20	-1.8884459526706619e-21
3.281250000000	-1.8300494160545277e-11	-1.8300440718817283e-11	5.3441727993700335e-17	-7.2770397786386700e-20	-7.5355553392277560e-20	-2.5851556058908602e-21
3.372395833333	2.0362250125609797e-11	2.0362198240726887e-11	-5.1884882910062397e-17	-8.7542567455750561e-20	-9.2005285239743347e-20	-4.4627177839927860e-21
3.463541666667	-2.2426545117016010e-11	-2.2426494935845865e-11	5.0181170144444519e-17	-8.6779296487084897e-20	-9.1749405477626970e-20	-4.9701089905420737e-21
3.554687500000	2.4493815220273224e-11	2.4493766592031560e-11	-4.8628241664071792e-17	-9.2179129476226767e-20	-9.8878351882348283e-20	-6.6992224061215157e-21
3.645833333333	-2.6564496743212382e-11	-2.6564449753959783e-11	4.6989252598679534e-17	-1.0400135199225748e-19	-1.1104752247858184e-19	-7.0461704863243517e-21
3.736979166667	2.8639029351212053e-11	2.8638983926595504e-11	-4.5424616549652378e-17	-1.2024349758665009e-19	-1.2920965476025516e-19	-8.9661571736050721e-21
3.828125000000	-3.0717852339700788e-11	-3.0717808429938749e-11	4.3909762039346253e-17	-6.7657022783268432e-20	-7.7293457585982765e-20	-9.6364348027143330e-21
3.919270833333	3.2801411245746706e-11	3.2801368981505438e-11	-4.2264241268262767e-17	-8.4650222864584486e-20	-9.5767221209907897e-20	-1.1116998345323411e-20
4.010416666667	-3.4890151130458492e-11	-3.4890110261700475e-11	4.0868758016103608e-17	-7.8751068950779139e-20	-8.9865327842571788e-20	-1.1114258891792650e-20
4.101562500000	3.6984524014255274e-11	3.6984484799300220e-11	-3.9214955053900495e-17	-9.2538294038126436e-20	-1.0456049665760332e-19	-1.2022202619476884e-20
4.192708333333	-3.9084982033301376e-11	-3.9084944181267881e-11	3.7852033495135847e-17	-8.4326226962077835e-20	-9.8931845264250096e-20	-1.4605618302172261e-20
