z_A	RHOB_DFT_e_A3	RHOB_step05_e_A3	RHOB_step05_minus_DFT_e_A3	RHOION_DFT_e_A3	RHOION_step05_e_A3	RHOION_step05_minus_DFT_e_A3
6.744791666667e+00	-1.024448873898e-10	-1.024459821340e-10	-1.09474e-15	-3.004637821397e-20	-3.852934752274e-20	-8.48297e-21
6.835937500000e+00	1.049570465883e-10	1.049580746556e-10	1.02807e-15	3.956942488080e-21	-4.309257232855e-21	-8.2662e-21
6.927083333333e+00	-1.074936643482e-10	-1.074946285243e-10	-9.64176e-16	-4.489932576774e-20	-5.253519034446e-20	-7.63586e-21
7.018229166667e+00	1.100556501215e-10	1.100565520551e-10	9.01934e-16	-9.046845846633e-21	-1.779414197018e-20	-8.7473e-21
7.109375000000e+00	-1.126439372192e-10	-1.126447800253e-10	-8.42806e-16	-2.201011040248e-20	-3.012295752260e-20	-8.11285e-21
7.200520833333e+00	1.152594997502e-10	1.152602853552e-10	7.85605e-16	-1.328976250704e-20	-2.181984872737e-20	-8.53009e-21
7.291666666667e+00	-1.179033420792e-10	-1.179040739733e-10	-7.31894e-16	-3.115492682680e-20	-3.761852281524e-20	-6.4636e-21
7.382812500000e+00	1.205765116614e-10	1.205771920857e-10	6.80424e-16	2.706053469743e-20	1.996017035130e-20	-7.10036e-21
7.473958333333e+00	-1.232800914306e-10	-1.232807243698e-10	-6.32939e-16	-2.278122209339e-20	-2.964353639213e-20	-6.86231e-21
7.565104166667e+00	1.260152102364e-10	1.260157982941e-10	5.88058e-16	1.608518698697e-20	1.031056699992e-20	-5.77462e-21
7.656250000000e+00	-1.287830443890e-10	-1.287835921157e-10	-5.47727e-16	-3.243791566021e-20	-3.627355083795e-20	-3.83564e-21
7.747395833333e+00	1.315848123732e-10	1.315853228540e-10	5.10481e-16	-2.902579059062e-20	-3.458953455094e-20	-5.56374e-21
7.838541666667e+00	-1.344217921336e-10	-1.344222706144e-10	-4.78481e-16	-5.259370963425e-20	-5.557706199023e-20	-2.98335e-21
7.929687500000e+00	1.372953152440e-10	1.372957654018e-10	4.50158e-16	-2.219537142802e-20	-2.518477906513e-20	-2.98941e-21
8.020833333333e+00	-1.402067058691e-10	-1.402071337232e-10	-4.27854e-16	-3.761840273305e-20	-3.981967852102e-20	-2.20128e-21
8.111979166667e+00	1.431594431000e-10	1.431598531711e-10	4.10071e-16	-2.056733951447e-20	-2.199083428228e-20	-1.42349e-21
8.203125000000e+00	-1.461050649207e-10	-1.461054626549e-10	-3.97734e-16	-2.921082845111e-20	-3.095603943651e-20	-1.74521e-21
8.294270833333e+00	1.500103237463e-10	1.500107519039e-10	4.28158e-16	-2.924124949706e-20	-3.130485947367e-20	-2.06361e-21
8.385416666667e+00	-1.402584349936e-10	-1.402581985626e-10	2.36431e-16	-4.502053695300e-20	-4.564274737994e-20	-6.2221e-22
8.476562500000e+00	2.913397814295e-10	2.913490702726e-10	9.28884e-15	-6.242127888049e-21	-9.083055392703e-21	-2.84093e-21
8.567708333333e+00	1.046680337552e-09	1.046775065751e-09	9.47282e-14	-4.254904627094e-20	-4.661572605497e-20	-4.06668e-21
8.658854166667e+00	8.555380557884e-09	8.556158707714e-09	7.7815e-13	5.758667980183e-21	6.822947154072e-23	-5.69044e-21
8.750000000000e+00	4.592798204291e-08	4.593282629261e-08	4.84425e-12	-9.295928140161e-21	-1.447157018031e-20	-5.17564e-21
8.841145833333e+00	2.004976331190e-07	2.005205693610e-07	2.29362e-11	-1.989294860088e-20	-2.824643070748e-20	-8.35348e-21
8.932291666667e+00	6.914799618053e-07	6.915619449556e-07	8.19832e-11	-4.934125175280e-20	-5.840583686875e-20	-9.06459e-21
9.023437500000e+00	1.904535634738e-06	1.904754112718e-06	2.18478e-10	1.286188044991e-20	1.622156929835e-21	-1.12397e-20
9.114583333333e+00	4.199284401482e-06	4.199708172178e-06	4.23771e-10	-1.304065040372e-20	-2.567733769542e-20	-1.26367e-20
9.205729166667e+00	7.453716634973e-06	7.454288700680e-06	5.72066e-10	-2.304352806343e-20	-4.032356704715e-20	-1.728e-20
9.296875000000e+00	1.070569710765e-05	1.070619622176e-05	4.99114e-10	-4.242838534056e-21	-2.202509445967e-20	-1.77823e-20
9.388020833333e+00	1.249887412992e-05	1.249917716302e-05	3.03033e-10	8.575848814778e-21	-1.100451904001e-20	-1.95804e-20
9.479166666667e+00	1.180775067084e-05	1.180819997714e-05	4.49306e-10	6.063564601289e-21	-1.773300033751e-20	-2.37966e-20
9.570312500000e+00	8.628557377516e-06	8.629762777485e-06	1.2054e-09	-1.788352865185e-20	-4.542549828126e-20	-2.7542e-20
9.661458333333e+00	3.719387287847e-06	3.721361049694e-06	1.97376e-09	3.257192462584e-20	1.879922160896e-21	-3.0692e-20
9.752604166667e+00	-1.818040870659e-06	-1.816341188704e-06	1.69968e-09	-2.888732770046e-20	-6.198044375184e-20	-3.30931e-20
9.843750000000e+00	-6.636928523688e-06	-6.636781349215e-06	1.47174e-10	-1.195153751958e-20	-4.527967289985e-20	-3.33281e-20
9.934895833333e+00	-9.496609350651e-06	-9.498224795601e-06	-1.61544e-09	-4.392805561946e-20	-7.899275397653e-20	-3.50647e-20
1.002604166667e+01	-1.007727941229e-05	-1.007954839917e-05	-2.26899e-09	-3.497726326010e-20	-7.059578653478e-20	-3.56185e-20
1.011718750000e+01	-9.155496362938e-06	-9.157087218415e-06	-1.59086e-09	-6.961590670248e-20	-1.051018967683e-19	-3.5486e-20
1.020833333333e+01	-7.742827703321e-06	-7.743339479623e-06	-5.11776e-10	-3.262433649288e-20	-6.794562790899e-20	-3.53213e-20
1.029947916667e+01	-6.279363716150e-06	-6.279334810781e-06	2.89054e-11	-5.772746645949e-20	-9.312474068967e-20	-3.53973e-20
1.039062500000e+01	-4.744333207801e-06	-4.744409473529e-06	-7.62657e-11	-2.158030386092e-20	-5.380686430578e-20	-3.22266e-20
1.048177083333e+01	-3.152246216570e-06	-3.152610780733e-06	-3.64564e-10	-7.143073100001e-20	-1.016979898982e-19	-3.02673e-20
1.057291666667e+01	-1.704503332183e-06	-1.704973816103e-06	-4.70484e-10	-1.472434029262e-20	-4.236764700073e-20	-2.76433e-20
1.066406250000e+01	-4.619538791741e-07	-4.623176147244e-07	-3.63736e-10	-7.007492364939e-20	-9.527967253183e-20	-2.52047e-20
1.075520833333e+01	1.236960480820e-06	1.236800739136e-06	-1.59742e-10	-2.966665223446e-20	-5.293690273026e-20	-2.32703e-20
1.084635416667e+01	5.659794729825e-06	5.659896270378e-06	1.01541e-10	1.997283698734e-21	-1.785945969279e-20	-1.98567e-20
1.093750000000e+01	1.753255176962e-05	1.753306178080e-05	5.10011e-10	-4.073049037458e-20	-5.688882350071e-20	-1.61583e-20
1.102864583333e+01	4.299766947730e-05	4.299892454173e-05	1.25506e-09	-5.374778095784e-20	-6.643278323891e-20	-1.2685e-20
1.111979166667e+01	8.416256689028e-05	8.416540864420e-05	2.84175e-09	-2.440216305459e-20	-3.258439229959e-20	-8.18223e-21
1.121093750000e+01	1.319415893665e-04	1.319481798421e-04	6.59048e-09	-9.065962127140e-21	-1.131616401665e-20	-2.2502e-21
1.130208333333e+01	1.671216431323e-04	1.671352701709e-04	1.3627e-08	2.529181907932e-20	2.653271746270e-20	1.2409e-21
1.139322916667e+01	1.734766133276e-04	1.734978701476e-04	2.12568e-08	6.803084712350e-20	7.478322973486e-20	6.75238e-21
1.148437500000e+01	1.496057970054e-04	1.496290588008e-04	2.32618e-08	-1.097499100048e-20	-3.459115302424e-22	1.06291e-20
