z_A	PHI_DFT_e_A3	PHI_step01_e_A3	RHOB_DFT_e_A3	RHOB_step01_e_A3	RHOION_DFT_e_A3	RHOION_step01_e_A3	PHI_step02_e_A3	RHOB_step02_e_A3	RHOION_step02_e_A3	PHI_step03_e_A3	RHOB_step03_e_A3	RHOION_step03_e_A3	PHI_step04_e_A3	RHOB_step04_e_A3	RHOION_step04_e_A3	PHI_step05_e_A3	RHOB_step05_e_A3	RHOION_step05_e_A3
2.734375000000e+00	9.177087972664e-05	4.014018512690e-05	-5.958965115762e-12	-2.184395068662e-12	-5.772028464858e-20	-3.928568780546e-20	6.552217145317e-05	-3.912546789257e-12	-8.209164736130e-20	9.178953618168e-05	-5.716825395362e-12	5.099426002204e-20	9.170454918403e-05	-5.934877038200e-12	2.521185665356e-20	9.173635823388e-05	-5.964323160455e-12	-1.860000060143e-20
2.825520833333e+00	9.177192560499e-05	4.051889825932e-05	8.014607246137e-12	4.142176547721e-12	-6.472869510059e-20	-4.812123968382e-20	6.571588503381e-05	5.922798639259e-12	-9.202490564970e-20	9.179087247388e-05	7.774026255861e-12	4.224725912618e-20	9.170606475962e-05	7.990192111016e-12	1.557579204721e-20	9.173766218214e-05	8.019842993803e-12	-2.782677605122e-20
2.916666666667e+00	9.176137503882e-05	4.088601479434e-05	-1.007017967798e-11	-6.098879688157e-12	-5.315280127920e-20	-3.945834741350e-20	6.589800217037e-05	-7.932480883940e-12	-8.364143763357e-20	9.178061232145e-05	-9.831102406372e-12	5.188776608952e-20	9.169598389069e-05	-1.004543277754e-11	2.659298543898e-20	9.172736968587e-05	-1.007529410674e-11	-1.711773415536e-20
3.007812500000e+00	9.175929157011e-05	4.126159824962e-05	1.212612008446e-11	8.054911344484e-12	-7.876861626089e-20	-6.704034959506e-20	6.608858640378e-05	9.942015510863e-12	-1.148760938036e-19	9.177881926658e-05	1.188849310130e-11	2.429095605138e-20	9.169437011922e-05	1.210103580830e-11	-8.095455205447e-22	9.172554428706e-05	1.213111490494e-11	-4.454706733537e-20
3.098958333333e+00	9.174380746768e-05	4.162378091794e-05	-1.418286331559e-11	-1.001067199015e-11	-8.227408015468e-20	-7.043816037135e-20	6.626577000390e-05	-1.195182054419e-11	-1.165951378766e-19	9.176362557789e-05	-1.394663746675e-11	2.389144008018e-20	9.167935571403e-05	-1.415743661382e-11	3.980351855149e-22	9.171031825454e-05	-1.418773953386e-11	-4.592094027102e-20
3.190104166667e+00	9.173546199139e-05	4.199310203551e-05	1.624084348714e-11	1.196656195022e-11	-9.014193860397e-20	-8.059390670516e-20	6.645009222953e-05	1.396231308101e-11	-1.305385118119e-19	9.175557051542e-05	1.600597093446e-11	1.363196471083e-20	9.167147993496e-05	1.621506832567e-11	-1.074798655873e-20	9.170223084813e-05	1.624560261994e-11	-5.750009182092e-20
3.281250000000e+00	9.171123966362e-05	4.234654614804e-05	-1.830049416055e-11	-1.392297732459e-11	-7.277039778639e-20	-6.124129679188e-20	6.661853760412e-05	-1.597390846966e-11	-1.146932908137e-19	9.173163860137e-05	-1.806693125541e-11	3.180860869197e-20	9.164772730442e-05	-1.827436500680e-11	8.748333602952e-21	9.167826659025e-05	-1.830513732335e-11	-3.839854911634e-20
3.372395833333e+00	9.169124704214e-05	4.270421979031e-05	2.036225012561e-11	1.588031583510e-11	-8.754256745575e-20	-7.727413333321e-20	6.679121268437e-05	1.798702300502e-11	-1.354849282318e-19	9.171193639370e-05	2.012995459704e-11	1.660434576692e-20	9.162820438013e-05	2.033576055502e-11	-8.294472798051e-21	9.165853203864e-05	2.036677864676e-11	-5.514097814609e-20
3.463541666667e+00	9.165042685121e-05	4.304106570923e-05	-2.242654511702e-11	-1.783897051704e-11	-8.677929648708e-20	-7.619323384042e-20	6.694306019559e-05	-2.000207070013e-11	-1.363469676040e-19	9.167140661648e-05	-2.219547856831e-11	1.800287378386e-20	9.158785388642e-05	-2.239968913183e-11	-4.147754674003e-21	9.161796991758e-05	-2.243096017473e-11	-5.272559461616e-20
3.554687500000e+00	9.160815372007e-05	4.337645851173e-05	2.449381522027e-11	1.979933682226e-11	-9.217912947623e-20	-8.163852694928e-20	6.709345476599e-05	2.201946752182e-11	-1.463983925881e-19	9.162942389913e-05	2.426394077604e-11	1.086681960796e-20	9.154605045246e-05	2.446658586640e-11	-1.058791362884e-20	9.157595485630e-05	2.449811802300e-11	-5.899257568804e-20
3.645833333333e+00	9.153665543197e-05	4.368262600302e-05	-2.656449674321e-11	-2.176180680231e-11	-1.040013519923e-19	-9.374054391580e-20	6.721462417984e-05	-2.403962833972e-11	-1.593275764244e-19	9.155821602470e-05	-2.633578121436e-11	-2.153062350485e-22	9.147502186154e-05	-2.653688758522e-11	-2.186046850772e-20	9.150471463803e-05	-2.656868843968e-11	-6.982555934359e-20
3.736979166667e+00	9.145260945619e-05	4.397624563074e-05	2.863902935121e-11	2.372677560313e-11	-1.202434975867e-19	-1.119390294854e-19	6.732324590541e-05	2.606297105700e-11	-1.811325154699e-19	9.147446046271e-05	2.841144122452e-11	-1.607311391130e-20	9.139144558293e-05	2.861103290507e-11	-3.885825902463e-20	9.142092673209e-05	2.864311113053e-11	-8.766658325483e-20
